hidden_dim=768 feature=43 selected_neurons_count=135 selected_neurons=[(588, 11.539620399475098), (551, 7.460709571838379), (570, 2.47859787940979), (331, 1.5979868173599243), (41, 1.3623464107513428), (749, 1.2459238767623901), (188, 1.223358392715454), (330, 1.220845103263855), (627, 1.137250542640686), (733, 1.0740056037902832)]
hidden_dim=768 feature=44 selected_neurons_count=138 selected_neurons=[(588, 9.881808280944824), (551, 7.47028923034668), (570, 1.9441053867340088), (217, 1.8789130449295044), (662, 1.444789171218872), (330, 1.4069753885269165), (647, 1.3649486303329468), (702, 1.1004750728607178), (331, 1.1002143621444702), (206, 1.0844024419784546)]
hidden_dim=768 feature=45 selected_neurons_count=92 selected_neurons=[(588, 9.675315856933594), (551, 8.076292991638184), (570, 2.721515655517578), (217, 2.3041462898254395), (330, 1.530449390411377), (331, 1.4357120990753174), (647, 1.1624565124511719), (171, 1.0857229232788086), (664, 1.0330393314361572), (324, 1.0203827619552612)]
hidden_dim=768 feature=46 selected_neurons_count=57 selected_neurons=[(588, 9.516462326049805), (61, 3.451650857925415), (551, 2.090892791748047), (82, 1.196945309638977), (611, 1.1153297424316406), (333, 1.110103726387024), (169, 1.0872719287872314), (13, 1.02822744846344), (764, 0.9862704277038574), (219, 0.9655423164367676)]
hidden_dim=768 feature=47 selected_neurons_count=212 selected_neurons=[(551, 5.527284622192383), (570, 3.864743709564209), (611, 2.7088205814361572), (656, 2.583425283432007), (245, 2.451674699783325), (38, 2.431948661804199), (664, 2.351667881011963), (397, 1.9468684196472168), (331, 1.7712976932525635), (330, 1.6937695741653442)]
hidden_dim=768 feature=48 selected_neurons_count=57 selected_neurons=[(588, 9.595098495483398), (551, 2.8065426349639893), (40, 1.221535325050354), (306, 1.0982130765914917), (611, 1.0857768058776855), (672, 1.0856740474700928), (61, 0.9836803078651428), (624, 0.8741024136543274), (79, 0.8212196826934814), (299, 0.8195767998695374)]
hidden_dim=768 feature=49 selected_neurons_count=110 selected_neurons=[(588, 10.463509559631348), (61, 1.9873626232147217), (731, 1.9184013605117798), (82, 1.8782416582107544), (551, 1.7985466718673706), (611, 1.68814218044281), (561, 1.4306598901748657), (219, 1.3849292993545532), (144, 1.1856715679168701), (112, 1.1541705131530762)]
hidden_dim=768 feature=50 selected_neurons_count=172 selected_neurons=[(588, 7.585853576660156), (551, 4.200959205627441), (38, 1.9382075071334839), (61, 1.8140556812286377), (193, 1.7921971082687378), (570, 1.790056586265564), (224, 1.7359431982040405), (57, 1.6242620944976807), (330, 1.5316253900527954), (159, 1.4681092500686646)]
hidden_dim=768 feature=51 selected_neurons_count=100 selected_neurons=[(588, 11.380687713623047), (61, 2.2264366149902344), (551, 1.7410725355148315), (219, 1.4199191331863403), (731, 1.385004997253418), (573, 1.33174729347229), (3, 1.1654106378555298), (4, 1.046383261680603), (79, 1.0165154933929443), (156, 0.9150575399398804)]
hidden_dim=768 feature=52 selected_neurons_count=264 selected_neurons=[(588, 6.720144748687744), (551, 3.2934393882751465), (61, 3.146494150161743), (751, 2.522376537322998), (764, 2.343562126159668), (259, 2.29396653175354), (214, 2.201206684112549), (663, 2.0958895683288574), (361, 2.0589041709899902), (249, 1.9303120374679565)]
hidden_dim=768 feature=53 selected_neurons_count=53 selected_neurons=[(588, 10.660353660583496), (551, 3.2857000827789307), (61, 1.674067735671997), (497, 0.9639391899108887), (731, 0.9436843991279602), (496, 0.9291855096817017), (79, 0.9077227115631104), (112, 0.8655271530151367), (10, 0.7772667407989502), (219, 0.7587750554084778)]
