hidden_dim=768 feature=23 selected_neurons_count=66 selected_neurons=[(588, 10.578088760375977), (551, 6.409058094024658), (570, 1.966968297958374), (330, 1.4610875844955444), (331, 1.3933820724487305), (764, 1.1060723066329956), (624, 1.0636228322982788), (254, 1.030629277229309), (498, 0.9676322340965271), (157, 0.8878987431526184)]
hidden_dim=768 feature=24 selected_neurons_count=187 selected_neurons=[(588, 7.914821147918701), (570, 3.314629077911377), (330, 2.409578323364258), (551, 1.6090039014816284), (331, 1.5415831804275513), (97, 1.529671549797058), (611, 1.2860621213912964), (1, 1.276792049407959), (529, 1.2558289766311646), (718, 1.2467411756515503)]
hidden_dim=768 feature=25 selected_neurons_count=114 selected_neurons=[(588, 9.777746200561523), (551, 8.60198974609375), (570, 2.545367479324341), (330, 2.101015090942383), (749, 1.866083025932312), (331, 1.8276187181472778), (157, 1.6304068565368652), (47, 1.4986343383789062), (217, 1.430906057357788), (193, 1.3200862407684326)]
hidden_dim=768 feature=26 selected_neurons_count=94 selected_neurons=[(588, 10.842510223388672), (551, 8.254599571228027), (570, 2.796844482421875), (330, 1.7381808757781982), (217, 1.718522071838379), (331, 1.6810753345489502), (324, 1.1171783208847046), (157, 1.07765793800354), (41, 1.0741450786590576), (156, 1.0449466705322266)]
hidden_dim=768 feature=27 selected_neurons_count=101 selected_neurons=[(588, 10.785058975219727), (551, 8.321954727172852), (570, 2.846911668777466), (330, 1.7568962574005127), (331, 1.702953815460205), (217, 1.6672439575195312), (324, 1.149103045463562), (41, 1.1073691844940186), (749, 1.1000257730484009), (157, 1.0965416431427002)]
hidden_dim=768 feature=28 selected_neurons_count=49 selected_neurons=[(588, 7.903207778930664), (551, 4.247214317321777), (61, 1.6705971956253052), (611, 1.3277150392532349), (82, 1.1787232160568237), (573, 1.1093226671218872), (731, 0.9542496800422668), (634, 0.9413334131240845), (123, 0.8239299058914185), (169, 0.7979634404182434)]
hidden_dim=768 feature=29 selected_neurons_count=205 selected_neurons=[(551, 3.855501413345337), (570, 2.9700586795806885), (664, 2.6820929050445557), (611, 2.4832375049591064), (38, 2.373518705368042), (224, 2.100376844406128), (63, 1.8306506872177124), (330, 1.7949732542037964), (752, 1.771104335784912), (588, 1.7457491159439087)]
hidden_dim=768 feature=30 selected_neurons_count=65 selected_neurons=[(588, 8.084311485290527), (551, 5.817213535308838), (61, 1.8631250858306885), (764, 1.2522906064987183), (79, 1.1730650663375854), (330, 1.1670277118682861), (254, 1.1650540828704834), (647, 1.0391204357147217), (259, 0.9351196885108948), (518, 0.9083900451660156)]
hidden_dim=768 feature=31 selected_neurons_count=84 selected_neurons=[(588, 9.193037986755371), (551, 5.352602958679199), (61, 1.2932549715042114), (662, 1.1338392496109009), (330, 1.1265449523925781), (217, 1.0322304964065552), (193, 1.0123358964920044), (647, 1.0059045553207397), (47, 0.9536632895469666), (245, 0.9358919262886047)]
hidden_dim=768 feature=32 selected_neurons_count=242 selected_neurons=[(551, 3.2012181282043457), (570, 2.9877562522888184), (611, 2.520625114440918), (330, 2.4434444904327393), (333, 2.0033059120178223), (224, 1.9695372581481934), (656, 1.9618297815322876), (97, 1.93282949924469), (95, 1.8876168727874756), (699, 1.5527443885803223)]
hidden_dim=768 feature=33 selected_neurons_count=113 selected_neurons=[(551, 3.3080995082855225), (664, 2.0101816654205322), (245, 1.9024434089660645), (97, 1.7785636186599731), (611, 1.7742890119552612), (38, 1.6388084888458252), (159, 1.6074602603912354), (570, 1.5763875246047974), (16, 1.4095391035079956), (397, 1.2494394779205322)]
hidden_dim=768 feature=34 selected_neurons_count=99 selected_neurons=[(588, 10.59487533569336), (551, 8.68106746673584), (570, 2.8430819511413574), (331, 1.7710256576538086), (330, 1.7540662288665771), (749, 1.567002296447754), (217, 1.4127984046936035), (157, 1.200406789779663), (324, 1.1203938722610474), (41, 1.0888983011245728)]
hidden_dim=768 feature=35 selected_neurons_count=112 selected_neurons=[(588, 7.709526538848877), (551, 6.012886047363281), (61, 2.7238566875457764), (764, 1.5883935689926147), (38, 1.4751657247543335), (330, 1.4624297618865967), (647, 1.2994358539581299), (570, 1.137775182723999), (254, 1.086837887763977), (702, 1.0712484121322632)]
